tf.Tensor([6.8764354e-04 2.6750509e-04 2.4782584e-04 9.9879706e-01], shape=(4,), dtype=float32)
tf.Tensor([9.7892797e-01 2.6669452e-04 2.1525579e-05 2.0783830e-02], shape=(4,), dtype=float32)
tf.Tensor([9.9915963e-01 1.0699356e-05 1.2783813e-07 8.2953763e-04], shape=(4,), dtype=float32)
tf.Tensor([9.9421608e-01 3.1826136e-04 4.0113280e-04 5.0645480e-03], shape=(4,), dtype=float32)
tf.Tensor([6.5605246e-07 6.6696350e-07 4.5269266e-07 9.9999827e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9574673e-01 2.8277459e-04 7.9872028e-04 3.1717678e-03], shape=(4,), dtype=float32)
tf.Tensor([0.2701896  0.11079518 0.5390113  0.08000391], shape=(4,), dtype=float32)
tf.Tensor([0.00514396 0.01503355 0.24072546 0.73909694], shape=(4,), dtype=float32)
tf.Tensor([9.9999034e-01 1.3114870e-06 1.7183729e-07 8.1903154e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9967521e-01 5.9089155e-07 3.3287400e-08 3.2421268e-04], shape=(4,), dtype=float32)
tf.Tensor([2.1868028e-02 7.6123270e-06 9.7235000e-01 5.7743834e-03], shape=(4,), dtype=float32)
tf.Tensor([4.8064888e-01 2.3638277e-05 3.5363254e-01 1.6569495e-01], shape=(4,), dtype=float32)
tf.Tensor([3.1979594e-01 3.6678575e-05 1.8159132e-02 6.6200829e-01], shape=(4,), dtype=float32)
tf.Tensor([1.0088168e-03 2.0305781e-06 2.0974576e-04 9.9877942e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9999249e-01 2.4920485e-07 2.8395783e-07 6.8839377e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9932653e-01 7.6283986e-06 6.0996623e-05 6.0497114e-04], shape=(4,), dtype=float32)
tf.Tensor([3.7633786e-03 9.9391288e-01 3.6670946e-04 1.9570731e-03], shape=(4,), dtype=float32)
tf.Tensor([3.7525581e-24 1.0000000e+00 1.5770618e-23 8.8367796e-14], shape=(4,), dtype=float32)
tf.Tensor([2.0943831e-03 9.8853308e-01 2.5091234e-05 9.3475077e-03], shape=(4,), dtype=float32)
tf.Tensor([1.453272e-02 6.323209e-04 9.845542e-01 2.807862e-04], shape=(4,), dtype=float32)
tf.Tensor([1.2088128e-11 4.0405423e-10 1.0000000e+00 6.8466273e-09], shape=(4,), dtype=float32)
tf.Tensor([1.8543728e-12 1.4958465e-10 1.0000000e+00 1.6962527e-08], shape=(4,), dtype=float32)
tf.Tensor([1.8772460e-12 5.7894278e-10 9.9999994e-01 1.4746664e-07], shape=(4,), dtype=float32)
tf.Tensor([1.5293265e-08 8.3325500e-07 9.9999309e-01 6.0418447e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9851120e-01 1.2554620e-04 2.4274207e-06 1.3608972e-03], shape=(4,), dtype=float32)
tf.Tensor([8.7549350e-11 1.3781030e-09 9.9999988e-01 1.5025175e-07], shape=(4,), dtype=float32)
tf.Tensor([3.8039511e-12 3.9913766e-09 9.9999559e-01 4.2583288e-06], shape=(4,), dtype=float32)
tf.Tensor([1.1880941e-11 1.7873833e-10 1.0000000e+00 7.4740054e-09], shape=(4,), dtype=float32)
tf.Tensor([6.3444909e-13 5.1558047e-10 1.0000000e+00 1.0941288e-10], shape=(4,), dtype=float32)
tf.Tensor([9.2786306e-01 2.8330497e-03 6.9169603e-02 1.3425820e-04], shape=(4,), dtype=float32)
tf.Tensor([7.3114549e-11 4.5795250e-03 1.3710035e-08 9.9542046e-01], shape=(4,), dtype=float32)
tf.Tensor([2.3978340e-02 5.7113048e-05 5.6514214e-06 9.7595882e-01], shape=(4,), dtype=float32)
tf.Tensor([6.3387907e-01 2.2404744e-04 8.5589963e-05 3.6581129e-01], shape=(4,), dtype=float32)
tf.Tensor([1.7384392e-01 2.7420706e-04 1.3407912e-03 8.2454103e-01], shape=(4,), dtype=float32)
tf.Tensor([3.6575063e-03 1.3260597e-05 2.1298090e-06 9.9632716e-01], shape=(4,), dtype=float32)
tf.Tensor([5.7790162e-06 1.9196516e-06 3.3183760e-08 9.9999231e-01], shape=(4,), dtype=float32)
tf.Tensor([3.4902934e-07 2.1030613e-05 4.3036998e-06 9.9997437e-01], shape=(4,), dtype=float32)
tf.Tensor([1.0836372e-06 1.3092047e-08 1.9361579e-10 9.9999899e-01], shape=(4,), dtype=float32)
tf.Tensor([1.1804125e-15 9.9989194e-01 1.9498826e-16 1.0801828e-04], shape=(4,), dtype=float32)
tf.Tensor([3.4605454e-12 9.4477442e-13 1.0231125e-18 1.0000000e+00], shape=(4,), dtype=float32)
tf.Tensor([9.0363240e-01 1.4829109e-05 1.7365711e-04 9.6179090e-02], shape=(4,), dtype=float32)
tf.Tensor([3.2834976e-06 1.7644612e-06 5.6059220e-05 9.9993891e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9784321e-01 2.7633216e-06 5.0953089e-04 1.6443825e-03], shape=(4,), dtype=float32)
tf.Tensor([6.3485298e-03 2.3885006e-05 2.6492447e-07 9.9362725e-01], shape=(4,), dtype=float32)
tf.Tensor([1.5668164e-08 6.6077423e-06 7.3759773e-05 9.9991953e-01], shape=(4,), dtype=float32)
tf.Tensor([0.26941225 0.00132829 0.4406099  0.28864953], shape=(4,), dtype=float32)
tf.Tensor([2.4666896e-04 3.7922804e-05 1.9120502e-05 9.9969620e-01], shape=(4,), dtype=float32)
tf.Tensor([0.10955354 0.00118507 0.00097643 0.88828486], shape=(4,), dtype=float32)
tf.Tensor([9.4434416e-01 7.5236698e-05 4.7850357e-05 5.5532791e-02], shape=(4,), dtype=float32)
tf.Tensor([1.9166423e-01 5.8004520e-05 1.9170841e-06 8.0827594e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9397999e-01 2.6139649e-04 1.0251042e-03 4.7334880e-03], shape=(4,), dtype=float32)
tf.Tensor([2.6580629e-01 1.1628775e-05 1.3603180e-06 7.3418075e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9581337e-01 2.7193499e-04 7.6972746e-04 3.1449490e-03], shape=(4,), dtype=float32)
tf.Tensor([5.0904237e-02 4.9085799e-04 2.5982747e-05 9.4857895e-01], shape=(4,), dtype=float32)
tf.Tensor([8.7320310e-01 4.9972645e-04 1.0090978e-01 2.5387432e-02], shape=(4,), dtype=float32)
tf.Tensor([9.9996197e-01 9.0058435e-08 1.3950827e-08 3.7966398e-05], shape=(4,), dtype=float32)
tf.Tensor([9.9999428e-01 7.9742932e-07 2.1141366e-06 2.8189786e-06], shape=(4,), dtype=float32)
tf.Tensor([3.4936480e-02 5.9312828e-05 9.3483961e-01 3.0164531e-02], shape=(4,), dtype=float32)
tf.Tensor([9.0688623e-02 2.9182002e-05 9.0253079e-01 6.7514093e-03], shape=(4,), dtype=float32)
tf.Tensor([4.4856781e-01 3.5051235e-05 2.4975939e-02 5.2642131e-01], shape=(4,), dtype=float32)
tf.Tensor([2.4495486e-02 1.8451875e-04 6.2950301e-01 3.4581697e-01], shape=(4,), dtype=float32)
tf.Tensor([8.9840215e-01 2.4117283e-03 1.9829620e-04 9.8987840e-02], shape=(4,), dtype=float32)
tf.Tensor([9.9522626e-01 1.6600930e-05 2.4693234e-05 4.7324081e-03], shape=(4,), dtype=float32)
tf.Tensor([1.0796638e-03 9.8962694e-01 4.9191999e-04 8.8015497e-03], shape=(4,), dtype=float32)
tf.Tensor([4.4053456e-24 1.0000000e+00 1.3996410e-23 3.5245919e-13], shape=(4,), dtype=float32)
tf.Tensor([2.1098824e-03 9.8772705e-01 2.6236752e-05 1.0136949e-02], shape=(4,), dtype=float32)
tf.Tensor([4.836279e-05 4.170762e-06 9.999467e-01 6.599319e-07], shape=(4,), dtype=float32)
