tf.Tensor([3.7571881e-02 1.3397689e-04 1.2399416e-04 9.6217012e-01], shape=(4,), dtype=float32)
tf.Tensor([4.9261451e-01 1.6188005e-04 1.0766696e-05 5.0721288e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9957967e-01 5.3602184e-06 6.4638236e-08 4.1489649e-04], shape=(4,), dtype=float32)
tf.Tensor([9.9693608e-01 3.2604492e-04 2.0067267e-04 2.5372433e-03], shape=(4,), dtype=float32)
tf.Tensor([1.1630817e-04 1.2023470e-02 2.2723736e-07 9.8785996e-01], shape=(4,), dtype=float32)
tf.Tensor([0.5640619  0.00655613 0.38913143 0.04025054], shape=(4,), dtype=float32)
tf.Tensor([0.44573945 0.05566747 0.45857668 0.04001644], shape=(4,), dtype=float32)
tf.Tensor([0.29764128 0.00901896 0.18668392 0.5066558 ], shape=(4,), dtype=float32)
tf.Tensor([9.9480718e-01 4.6911696e-03 4.9740012e-04 4.2689362e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9983752e-01 4.2036837e-07 1.6645139e-08 1.6211405e-04], shape=(4,), dtype=float32)
tf.Tensor([5.1074749e-01 4.0670493e-06 4.8636094e-01 2.8875330e-03], shape=(4,), dtype=float32)
tf.Tensor([6.7345023e-01 1.1851977e-05 2.4369037e-01 8.2847632e-02], shape=(4,), dtype=float32)
tf.Tensor([6.5987831e-01 1.8339299e-05 9.0795662e-03 3.3102378e-01], shape=(4,), dtype=float32)
tf.Tensor([5.0048947e-01 1.0466956e-06 1.0489873e-04 4.9940464e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9997824e-01 8.3033592e-06 9.7912798e-06 3.5958130e-06], shape=(4,), dtype=float32)
tf.Tensor([9.8991227e-01 6.1251121e-06 6.0195173e-04 9.4797518e-03], shape=(4,), dtype=float32)
tf.Tensor([1.8845252e-03 9.9695361e-01 1.8335633e-04 9.7853655e-04], shape=(4,), dtype=float32)
tf.Tensor([4.9423357e-03 5.0003433e-01 8.7717399e-07 4.9502245e-01], shape=(4,), dtype=float32)
tf.Tensor([1.0524935e-03 9.9425888e-01 1.4869616e-05 4.6737664e-03], shape=(4,), dtype=float32)
tf.Tensor([2.7984127e-01 3.1935092e-04 7.1967077e-01 1.6857120e-04], shape=(4,), dtype=float32)
tf.Tensor([1.6322319e-05 5.0699562e-08 9.9997389e-01 9.7376151e-06], shape=(4,), dtype=float32)
tf.Tensor([6.6437438e-02 2.7492357e-04 9.2823744e-01 5.0502149e-03], shape=(4,), dtype=float32)
tf.Tensor([0.02700026 0.00310111 0.9530716  0.01682707], shape=(4,), dtype=float32)
tf.Tensor([2.6590782e-05 1.7348800e-03 9.9822122e-01 1.7291308e-05], shape=(4,), dtype=float32)
tf.Tensor([8.2627904e-01 2.5652183e-04 2.7707513e-04 1.7318733e-01], shape=(4,), dtype=float32)
tf.Tensor([5.2676459e-08 7.6138873e-10 9.9999988e-01 1.0168776e-07], shape=(4,), dtype=float32)
tf.Tensor([1.6091959e-01 9.8573317e-08 8.3907086e-01 9.4065845e-06], shape=(4,), dtype=float32)
tf.Tensor([1.5527775e-04 8.8261559e-06 9.9983537e-01 5.2176568e-07], shape=(4,), dtype=float32)
tf.Tensor([1.4485948e-09 3.4151904e-10 1.0000000e+00 5.5154763e-11], shape=(4,), dtype=float32)
tf.Tensor([9.6393126e-01 1.4165401e-03 3.4584802e-02 6.7407498e-05], shape=(4,), dtype=float32)
tf.Tensor([1.7184857e-01 2.2929097e-03 2.6970743e-05 8.2583153e-01], shape=(4,), dtype=float32)
tf.Tensor([1.2368067e-02 2.8564891e-05 2.8318889e-06 9.8760051e-01], shape=(4,), dtype=float32)
tf.Tensor([5.2237815e-01 1.1202672e-04 4.2802432e-05 4.7746703e-01], shape=(4,), dtype=float32)
tf.Tensor([5.2962500e-01 1.3766483e-04 6.7039777e-04 4.6956694e-01], shape=(4,), dtype=float32)
tf.Tensor([2.0971259e-02 6.3521735e-02 1.7275383e-05 9.1548979e-01], shape=(4,), dtype=float32)
tf.Tensor([3.1221032e-06 9.5986820e-07 1.6592040e-08 9.9999595e-01], shape=(4,), dtype=float32)
tf.Tensor([1.6271180e-02 1.0557999e-05 2.1518499e-06 9.8371613e-01], shape=(4,), dtype=float32)
tf.Tensor([5.4009506e-05 6.5460393e-09 9.6807895e-11 9.9994606e-01], shape=(4,), dtype=float32)
tf.Tensor([2.0855698e-06 4.9994597e-01 4.9999791e-01 5.4045242e-05], shape=(4,), dtype=float32)
